userID	u_gender
0	1
2	1
3	1
5	0
6	0
8	1
9	0
10	1
11	1
12	1
13	0
14	1
15	1
16	1
17	1
18	1
19	0
20	1
21	0
22	1
23	0
24	1
25	1
26	1
27	1
28	0
29	1
30	0
31	1
32	1
33	1
34	1
35	1
36	1
37	1
39	1
41	1
42	1
43	1
44	1
45	1
46	1
47	1
48	0
50	0
51	1
52	1
53	1
54	1
55	1
56	1
57	1
58	1
59	0
60	1
63	1
64	1
65	1
66	1
67	0
68	1
69	0
72	1
73	0
74	0
76	1
77	1
78	1
79	0
80	1
81	1
82	1
83	1
84	1
85	1
86	1
87	1
88	1
89	1
91	0
92	1
93	1
94	1
95	0
96	0
97	0
99	0
100	1
101	0
102	1
104	1
105	1
106	0
107	1
111	1
112	1
113	1
114	1
115	1
117	0
118	1
119	1
120	1
121	0
122	1
123	1
124	0
125	0
126	1
127	1
129	1
130	1
131	1
132	1
133	0
134	0
135	1
136	1
137	1
138	1
139	1
140	1
141	0
142	1
143	1
145	1
146	1
148	1
149	1
151	0
153	1
154	0
155	1
156	1
157	1
158	1
159	1
160	1
161	1
162	1
163	1
164	1
165	0
166	0
168	1
169	0
170	1
172	1
174	1
175	1
177	0
178	0
179	1
180	1
181	1
183	1
184	1
185	1
187	1
188	1
189	1
190	0
191	1
192	0
193	1
196	1
197	1
199	1
201	1
202	0
203	0
204	1
205	1
206	1
207	1
208	1
209	1
211	1
212	1
213	1
215	1
218	0
220	1
221	1
222	1
223	1
224	1
225	0
227	0
228	1
229	1
230	0
232	1
234	1
235	1
236	1
237	1
238	1
239	1
240	1
241	1
242	1
243	0
244	1
245	1
246	1
247	1
248	1
249	1
251	1
253	1
254	1
255	1
256	0
257	1
258	1
259	0
260	1
263	0
264	1
265	1
266	0
268	1
269	1
270	1
271	1
272	0
274	1
275	1
276	1
278	1
281	0
282	1
284	1
285	1
286	1
287	1
288	1
290	1
291	1
293	1
294	0
295	1
296	1
298	1
299	0
300	1
301	1
302	1
303	1
305	0
306	1
307	0
308	0
309	1
310	1
312	1
313	1
315	1
318	1
319	1
320	1
321	1
325	1
326	1
327	1
328	1
329	1
331	1
333	1
334	1
335	0
336	0
337	1
338	1
339	1
340	1
342	1
344	1
345	0
346	1
347	1
348	1
349	0
350	1
352	0
353	1
355	1
356	1
357	1
358	1
359	1
360	1
361	1
362	1
363	0
364	1
365	1
366	1
367	1
368	1
370	1
371	0
372	1
373	1
374	1
375	1
376	1
377	1
378	1
379	1
380	1
381	1
382	1
384	0
386	0
387	1
388	1
389	1
390	1
391	1
392	1
393	1
394	1
395	1
396	1
397	1
398	1
400	1
401	1
402	1
403	1
404	0
405	1
406	1
408	0
410	1
411	1
412	1
413	1
414	0
415	0
417	1
418	0
420	1
421	1
422	1
424	1
425	1
427	1
431	1
432	1
433	1
434	0
435	1
437	1
438	0
439	1
440	1
442	1
443	1
444	1
445	0
446	1
447	1
448	0
449	1
450	1
451	1
452	0
453	1
455	0
456	1
458	1
459	1
460	1
461	1
462	1
463	1
464	1
466	1
467	1
468	1
471	1
472	0
473	1
474	0
477	1
478	1
479	0
481	1
483	1
485	0
486	1
487	1
488	1
489	1
490	0
492	0
493	1
494	1
495	0
496	1
497	0
500	0
502	1
503	1
504	1
506	1
507	1
508	1
509	0
510	1
511	1
513	1
514	1
515	1
517	1
518	1
519	0
520	1
522	1
524	1
525	1
526	1
527	0
528	1
529	1
530	0
531	1
533	0
534	1
535	1
537	0
538	1
539	0
540	1
541	0
542	1
543	1
544	1
545	1
546	1
547	1
548	1
549	1
551	1
552	1
553	1
554	0
555	1
556	0
557	0
558	1
559	1
560	0
561	1
562	1
563	1
565	0
566	1
567	1
568	1
569	1
570	1
571	1
572	1
573	1
574	1
575	1
576	1
577	1
580	1
582	1
583	1
586	1
587	1
589	1
590	1
591	0
592	1
594	1
595	1
596	1
597	0
598	0
599	1
600	1
601	0
602	1
603	0
604	1
605	1
606	1
607	1
610	1
611	1
612	1
613	1
614	0
615	1
616	1
617	1
618	1
619	1
620	0
622	1
623	1
626	1
627	1
629	1
631	1
632	1
633	1
634	0
635	0
636	1
637	0
638	1
639	1
641	0
642	1
643	1
644	1
645	1
649	1
650	1
652	1
653	0
654	1
656	1
658	0
659	1
660	1
661	1
662	1
663	0
665	1
666	1
667	1
668	0
669	1
670	1
671	1
674	1
675	1
677	1
678	1
679	1
680	1
683	1
684	1
685	0
687	1
688	1
689	1
690	1
691	1
692	1
693	1
694	1
695	1
696	0
697	1
698	1
699	0
700	1
701	1
703	1
704	0
705	1
706	1
707	1
709	1
710	1
711	0
712	1
713	1
714	0
715	1
716	0
717	1
718	1
719	1
720	1
721	0
722	1
723	0
726	1
727	1
728	1
730	1
731	1
732	0
733	1
735	0
737	1
738	1
739	1
741	0
743	1
744	1
746	1
749	1
751	0
752	1
753	1
754	1
755	1
757	0
759	0
760	0
761	1
762	0
763	1
764	0
765	1
766	1
767	1
768	1
769	1
771	1
773	0
774	1
775	1
777	1
778	0
779	0
780	1
781	1
782	0
783	0
784	1
785	1
786	0
787	0
788	1
789	1
790	1
792	1
793	0
794	0
795	1
796	0
797	1
798	0
799	1
801	1
803	1
804	1
805	1
806	0
807	1
808	1
809	0
810	1
812	1
813	1
814	1
815	1
817	1
818	1
819	1
820	0
822	1
823	0
824	0
825	1
826	1
827	1
828	0
829	1
830	1
831	1
832	1
833	1
834	1
835	1
836	1
837	0
838	0
840	1
841	1
844	1
845	1
846	1
849	1
851	1
852	1
854	1
855	1
856	1
858	0
859	1
860	1
862	1
863	1
864	1
865	0
867	1
868	1
869	1
870	0
871	1
872	1
874	1
875	0
876	1
877	1
878	1
880	1
881	1
882	0
883	0
885	1
886	1
887	0
888	0
889	0
891	1
893	0
894	1
895	0
896	0
897	0
899	1
900	0
901	0
903	1
904	1
905	1
906	1
907	1
908	1
909	1
910	1
912	1
915	1
916	0
917	1
918	1
919	1
920	0
921	1
922	1
924	0
925	1
927	1
929	0
931	0
933	1
934	1
935	1
937	1
939	1
941	1
942	0
944	1
945	0
946	1
947	1
948	1
951	0
952	1
954	1
955	1
956	1
958	0
959	1
960	1
963	1
964	0
965	1
966	1
968	1
969	1
970	1
972	1
973	1
974	1
975	0
976	0
977	0
978	0
980	1
981	1
982	1
983	1
984	0
986	0
987	0
988	1
989	1
990	1
991	1
992	1
993	1
994	1
995	1
996	0
997	1
998	1
999	1
1001	1
1002	1
1004	1
1006	1
1007	1
1009	1
1010	1
1011	1
1013	1
1014	1
1015	1
1016	0
1017	1
