id	top_0	top_1	top_2	top_3	top_4	top_5	top_6	top_7	top_8	top_9	top_10	top_11	top_12	top_13	top_14	top_15	top_16	top_17	top_18	top_19
0	10	381	390	609	134	608	104	44	167	632	207	505	414	726	612	128	124	420	417	531
1	78	151	23	669	546	264	51	64	1528	246	110	244	195	90	44	280	210	199	719	428
2	711	97	132	48	217	92	273	755	60	210	151	713	714	587	642	171	15	40	385	213
3	44	209	669	64	714	97	48	434	199	132	662	92	136	743	62	611	51	151	546	78
4	372	515	524	542	454	134	435	958	790	470	167	527	336	322	493	457	788	1014	505	979
5	134	27	171	1194	729	690	880	1256	113	547	9	124	726	719	50	437	26	4	5	123
6	62	189	124	160	117	60	64	44	127	128	125	210	217	51	155	895	244	126	714	86
7	167	128	264	1528	259	529	312	151	305	104	246	520	1106	123	917	538	593	542	704	38
8	244	23	499	68	184	831	134	92	97	116	256	305	171	381	406	509	189	283	2091	44
9	608	64	612	46	426	381	682	273	1046	798	127	385	414	603	218	662	168	221	864	1531
10	515	350	315	116	527	335	221	40	537	176	244	243	381	167	316	499	1200	470	618	657
11	44	124	104	206	434	97	48	611	246	199	64	51	189	113	40	132	209	633	9	321
12	619	605	767	714	217	26	1018	155	209	630	762	195	775	748	151	166	641	210	214	48
13	104	315	246	669	0	305	128	372	23	515	766	420	273	44	3	524	48	350	167	499
14	264	151	171	132	51	27	246	501	437	195	895	97	59	512	4	454	39	465	508	120
15	352	866	69	788	501	919	1691	332	897	800	915	943	862	876	877	508	2237	790	1366	908
16	62	209	60	775	1241	555	758	493	605	246	98	119	762	214	51	364	43	546	48	86
17	113	124	132	26	528	186	151	33	78	195	538	264	619	605	119	92	783	646	171	643
18	64	273	68	651	86	294	202	5	92	62	929	603	1000	860	1162	743	936	993	775	188
19	113	189	64	44	92	124	60	127	237	160	62	51	128	171	244	38	184	23	5	264
20	60	50	783	733	10	44	32	237	132	939	34	1904	591	2203	287	682	673	1047	189	628
21	189	40	116	537	44	514	1118	151	104	48	171	5	168	188	117	242	243	259	128	808
22	64	1241	113	643	1014	127	22	740	1005	5	277	1270	206	322	213	432	48	192	288	151
23	104	547	184	5	124	171	64	26	382	221	381	40	176	167	315	19	283	41	290	437
24	132	189	97	104	68	277	155	62	929	287	40	38	512	86	5	184	619	217	860	605
25	729	89	400	695	1194	521	385	274	871	399	382	386	264	692	537	1364	895	1301	675	1298
26	9	559	766	199	611	124	246	662	633	51	719	629	0	174	1158	1253	434	64	770	562
27	134	9	128	381	321	244	661	0	669	153	48	22	505	1106	283	1158	662	559	417	50
28	215	714	214	211	44	664	199	127	546	57	1018	132	1578	213	48	728	1285	990	2292	1563
29	524	372	280	43	831	499	246	266	505	68	3	305	383	134	444	2180	2091	1902	529	317
30	633	175	585	1236	15	562	600	183	755	1795	851	76	1298	617	45	696	631	1516	1509	756
31	499	68	167	23	3	244	524	184	831	134	305	280	92	372	43	533	67	256	509	283
32	1158	209	1131	44	246	486	431	153	964	611	743	67	338	48	714	719	428	1582	84	1730
33	13	547	116	729	171	19	89	1301	84	207	828	900	715	521	382	335	426	419	1210	33
34	723	153	411	134	199	414	770	109	321	547	661	2041	0	115	23	170	381	47	87	1761
35	64	184	669	92	128	755	171	259	177	134	547	206	67	642	15	1228	167	499	156	0
36	283	104	33	729	10	690	40	207	189	390	27	4	134	14	400	381	1256	50	221	22
37	690	1256	396	557	27	1359	1024	576	164	283	1526	593	10	39	89	116	1745	1528	1338	1592
38	104	866	454	69	897	873	3	800	508	501	516	898	541	332	512	869	1135	445	881	287
39	6	99	1472	655	215	44	113	199	845	748	1468	1698	1080	1071	528	975	216	641	728	1154
40	104	134	4	263	305	128	184	132	381	790	50	40	113	167	171	48	788	733	283	273
41	643	641	214	217	758	754	189	277	775	737	975	112	558	1041	1075	587	615	1674	98	857
42	352	231	866	880	4	3	332	305	937	800	69	862	908	733	273	501	508	68	790	932
43	44	64	10	209	682	632	207	612	189	46	97	390	596	331	33	1005	715	50	14	1046
44	690	400	803	396	1338	221	1038	1681	583	674	521	1364	1644	723	871	1596	369	392	1516	1386
45	2376	1505	1178	2382	1899	1818	1217	2393	2651	2641	2383	3006	1006	1977	2671	3108	1134	1732	1229	2259
46	51	244	1106	105	246	420	280	104	48	669	109	1528	124	9	661	381	134	321	529	1098
47	64	33	60	151	390	608	575	62	567	163	45	711	590	843	335	1341	1256	755	164	713
48	44	97	127	78	92	217	51	714	246	669	546	128	186	259	376	432	26	209	743	167
49	517	406	499	831	519	3	545	178	1712	173	544	237	349	541	531	1244	2279	2056	267	522
50	499	517	68	531	837	349	184	3	4	949	38	406	885	519	541	1162	524	533	113	331
51	97	132	92	264	78	240	160	189	432	65	130	406	90	93	163	68	903	137	72	319
52	322	555	98	970	542	96	714	758	263	958	189	619	1190	119	242	1328	646	529	381	112
53	633	766	183	22	177	1195	756	797	562	723	13	1001	547	696	755	1448	1310	273	170	1236
54	48	104	23	51	124	44	9	113	381	127	40	669	26	64	0	123	246	171	134	105
55	116	515	315	171	164	40	221	317	470	168	335	509	273	529	305	283	124	669	437	242
56	949	499	340	517	349	831	885	1712	519	541	860	1887	1162	173	545	853	3	113	2056	1157
57	113	586	160	119	603	48	666	741	740	678	40	218	19	273	23	622	600	720	755	123
58	9	661	669	726	662	124	23	64	1253	611	26	128	2	22	665	184	127	381	121	218
59	264	189	195	151	166	113	132	160	48	78	895	62	150	319	117	116	27	432	891	90
60	544	545	519	340	387	267	237	178	522	860	3	992	1887	1524	949	429	2241	1882	993	831
61	1310	136	1272	770	171	1528	1503	382	153	128	792	729	719	116	945	124	42	121	437	321
62	231	315	317	897	1135	800	305	732	4	919	445	263	516	908	372	68	3	363	877	932
63	132	113	97	48	189	60	44	4	541	406	788	40	128	317	124	50	837	184	171	86
64	92	151	195	895	97	189	150	123	117	128	23	160	68	713	669	167	90	27	163	205
65	4	44	50	64	22	92	237	189	40	127	273	531	15	3	517	38	541	5	60	499
66	420	105	153	719	0	669	199	9	428	559	23	770	766	1545	414	87	629	51	565	159
67	134	206	420	50	44	499	9	321	315	381	0	723	64	124	535	177	51	633	661	797
68	51	167	1106	453	383	306	23	258	355	67	2180	246	1096	337	520	1902	312	542	491	2474
69	790	876	897	908	454	873	800	898	880	937	516	2215	881	372	869	889	445	877	2237	733
70	104	68	38	541	406	237	48	4	788	64	92	44	733	519	132	860	134	277	273	305
71	23	113	116	167	51	38	381	27	3	68	40	437	92	283	244	124	132	44	50	246
72	605	86	107	44	1018	195	1075	740	1674	1101	647	125	1103	1655	843	1209	277	1000	737	514
73	766	420	321	23	184	1240	0	67	128	661	170	486	134	174	945	629	48	434	275	167
74	34	682	1043	620	632	33	35	907	46	2283	16	2289	2193	1025	608	40	783	388	596	1093
75	48	499	184	23	280	831	132	92	315	305	97	113	67	256	517	505	515	531	372	189
76	352	866	908	305	800	501	184	919	897	372	898	332	515	880	134	881	915	889	2237	4
77	412	539	134	535	723	381	33	400	608	1311	45	361	645	1520	260	648	690	639	50	726
78	104	3	68	406	48	38	113	92	533	128	134	23	51	1712	541	132	167	27	97	499
79	92	40	189	10	104	124	167	44	132	151	33	280	381	134	264	38	437	39	26	4
80	559	669	1231	136	44	1466	1092	1158	1237	743	206	718	338	1283	51	124	661	994	236	213
81	48	92	322	60	280	155	246	68	437	156	251	137	64	133	1058	124	283	202	905	465
82	64	237	1691	541	132	113	939	788	359	124	860	651	932	5	189	184	531	1846	862	919
83	97	64	113	189	62	22	160	669	26	78	277	210	128	51	643	743	213	155	528	214
84	68	406	519	541	38	517	178	499	949	831	544	1157	1935	872	524	860	387	545	1712	317
85	10	8	390	33	4	25	9	1046	612	682	46	50	609	40	608	632	2203	32	37	16
86	497	643	60	78	1018	64	62	528	546	1092	714	189	1226	160	119	214	646	767	1041	775
87	104	174	105	199	128	246	559	124	661	770	67	633	134	9	22	565	206	1730	244	273
88	104	127	44	124	68	97	64	184	669	22	92	189	113	132	499	51	5	237	217	206
89	104	132	259	244	195	246	264	148	145	113	290	97	432	128	272	343	326	255	78	117
90	766	183	199	1298	206	770	22	797	104	13	170	1529	756	565	631	1310	865	755	392	1292
91	33	60	25	44	1691	64	1846	939	541	35	26	1523	2203	632	1076	124	783	935	273	1054
92	132	155	195	762	64	643	630	646	1018	124	117	133	564	217	187	205	1133	783	127	319
93	1005	1808	1810	1179	1114	1811	1812	974	1111	1130	868	209	594	603	1570	1000	1131	1505	1004	294
94	244	104	246	259	145	171	280	195	60	64	184	134	44	432	40	160	127	68	326	272
95	104	167	280	171	124	113	27	381	127	26	38	669	283	246	189	547	97	67	264	1528
