id	top_0	top_1	top_2	top_3	top_4	top_5	top_6	top_7	top_8	top_9	top_10	top_11	top_12	top_13	top_14	top_15	top_16	top_17	top_18	top_19
0	10	381	390	609	134	44	632	104	608	167	612	726	505	128	207	417	414	124	153	420
1	78	151	23	669	264	546	1528	64	51	246	110	244	90	44	280	428	719	210	195	199
2	711	97	132	217	210	92	48	60	151	755	273	713	587	171	15	213	40	78	714	13
3	44	669	64	209	714	97	434	48	132	199	92	743	662	78	151	62	611	51	136	128
4	372	515	454	542	524	435	790	958	134	470	167	788	336	493	322	457	527	1014	1011	529
5	27	134	171	1194	729	880	690	1256	547	437	113	26	726	124	4	9	719	5	382	104
6	189	62	124	117	160	60	44	64	127	128	210	125	895	217	51	155	240	244	171	126
7	167	128	264	259	1528	312	529	520	151	104	246	305	1106	123	542	38	538	704	328	593
8	244	23	499	831	184	68	134	92	256	97	116	381	509	171	406	283	305	189	44	437
9	608	64	612	426	381	46	682	273	127	798	1046	603	385	218	414	221	662	864	792	168
10	515	350	315	116	221	527	335	40	537	244	243	176	381	1200	167	618	316	793	470	657
11	44	124	206	104	434	246	611	51	97	64	48	189	199	40	113	116	321	766	633	420
12	605	619	767	26	714	217	1018	630	155	775	762	209	195	748	151	166	641	210	214	1133
13	104	315	246	669	128	372	515	305	0	44	23	350	766	420	273	3	124	218	167	524
14	264	171	151	51	132	27	501	246	437	895	195	4	97	59	120	454	39	512	905	508
15	352	866	69	501	788	1691	919	897	332	943	800	862	915	876	2237	877	508	790	1366	38
16	62	209	60	1241	775	555	605	493	758	762	98	119	214	246	1008	364	51	86	1259	43
17	124	113	26	132	528	186	151	33	78	264	195	605	538	619	783	92	646	119	32	171
18	64	273	294	5	86	68	202	651	92	603	62	1000	929	860	743	1162	936	738	993	775
19	189	113	124	64	44	60	92	127	160	237	62	128	51	171	38	244	5	116	264	23
20	60	783	50	733	32	10	44	939	1904	132	237	287	591	34	673	2203	628	1316	390	1047
21	189	116	537	40	514	44	1118	151	104	171	5	259	48	243	117	242	808	128	331	316
22	1241	64	643	1014	113	740	127	1005	22	1270	5	277	206	213	322	432	192	605	288	220
23	104	547	184	5	124	26	221	64	171	382	381	40	167	19	283	176	315	41	38	290
24	132	189	97	104	68	277	155	62	38	287	929	40	86	5	512	605	184	26	619	860
25	729	89	695	400	521	1194	385	274	871	399	1364	386	264	692	382	688	537	895	1298	675
26	559	9	766	124	611	199	246	629	719	662	633	1253	1158	51	174	64	0	434	770	562
27	134	9	128	381	321	244	661	153	0	283	505	669	22	1158	417	48	1106	662	726	559
28	215	714	214	211	44	664	199	127	57	1018	1578	213	728	546	2292	132	990	1563	1285	1336
29	280	372	524	831	246	505	43	499	383	266	3	305	68	134	444	317	1902	2180	509	529
30	633	175	15	585	1236	600	562	851	755	1795	183	1298	45	617	76	1516	631	696	177	198
31	499	167	831	23	3	68	244	184	524	280	134	305	372	92	256	283	509	43	505	44
32	1158	209	1131	44	153	486	246	431	964	428	611	84	719	67	743	1582	338	714	236	48
33	116	13	547	729	171	19	89	84	207	1301	382	521	828	426	335	900	715	419	1210	20
34	723	153	411	134	414	770	109	547	199	661	321	170	115	392	2041	23	0	865	26	381
35	64	184	669	128	92	259	177	171	755	547	15	1228	134	206	67	642	156	167	316	499
36	283	729	104	690	10	14	207	33	40	390	189	27	4	400	221	381	1256	331	1333	134
37	690	1256	557	1024	27	396	1359	576	283	1526	164	593	10	89	116	1745	39	1528	1592	1338
38	104	866	69	454	897	3	873	501	800	508	898	541	332	516	512	1135	869	936	243	881
39	99	6	1472	655	215	44	113	1698	748	1468	199	845	528	975	1071	1080	728	216	1154	1022
40	104	134	263	4	128	305	184	381	790	132	40	788	167	171	50	283	113	435	733	116
41	643	641	214	217	754	758	189	277	775	737	975	1041	558	112	1075	587	1674	615	1241	720
42	352	880	866	4	231	3	69	862	305	332	800	937	501	733	908	273	508	932	2237	870
43	44	64	10	632	612	207	682	209	189	46	390	97	1005	596	331	14	635	1158	213	1115
44	690	400	803	396	1338	221	1038	1364	1681	674	583	521	392	1644	1516	723	1596	369	1386	1024
45	2376	1505	1178	1818	2382	1899	2393	1217	2383	2641	2651	3006	1006	3108	1977	1994	1732	1229	1134	2671
46	51	244	280	1106	246	420	105	104	669	48	1528	124	661	109	9	381	153	259	321	505
47	64	60	33	151	390	575	62	163	567	608	45	711	843	335	590	1341	164	713	1256	437
48	44	97	127	78	92	217	51	128	714	259	246	669	376	26	186	546	432	743	167	209
49	517	831	406	499	519	545	3	178	1712	173	544	237	349	541	1244	531	2279	267	2056	522
50	499	517	837	531	68	349	949	3	38	406	4	184	885	1162	519	541	533	1157	788	331
51	240	264	97	132	78	92	189	432	65	160	90	406	130	93	903	1712	319	163	72	1665
52	322	555	98	263	970	542	96	714	758	958	619	189	1190	119	242	529	1258	646	493	1328
53	766	633	183	177	22	1195	756	797	13	723	562	1448	1001	547	696	170	1310	755	1348	45
54	48	104	23	51	124	44	9	26	381	127	669	113	40	64	123	171	246	390	105	27
55	116	515	315	221	171	164	40	317	509	470	124	283	529	437	335	305	89	669	168	273
56	949	517	831	340	499	349	885	1712	519	541	1887	860	1162	545	173	853	3	178	1157	1105
57	113	586	160	119	603	666	48	678	740	741	218	40	19	622	23	273	720	600	673	331
58	9	661	726	669	124	662	23	26	1253	64	611	128	665	2	184	218	22	381	127	1545
59	264	189	195	151	166	160	78	113	132	895	150	62	48	891	319	90	117	116	120	432
60	544	545	519	387	340	267	178	237	522	3	860	1524	992	1887	831	2241	949	429	1882	993
61	153	1503	136	171	1310	382	770	1528	1272	792	128	729	719	116	437	321	124	1586	945	158
62	231	315	897	317	1135	800	732	305	263	4	445	919	372	908	516	877	363	3	932	2215
63	132	113	97	60	189	48	44	541	4	406	788	128	317	124	40	837	50	263	86	517
64	92	151	895	195	97	128	117	189	150	23	123	90	160	713	669	167	68	163	27	205
65	4	44	64	22	50	189	237	40	92	517	531	15	127	3	38	541	273	5	1181	60
66	420	153	105	719	669	0	428	9	559	199	1545	23	770	766	629	414	128	87	1586	143
67	134	206	420	44	499	50	315	321	381	124	9	535	64	723	177	0	661	797	51	84
68	167	51	453	1106	383	23	258	306	246	1902	355	67	259	520	312	1096	337	2180	542	256
69	790	897	876	454	873	908	898	800	2215	880	877	881	372	2237	889	869	445	516	937	733
70	104	68	38	541	406	237	788	4	64	48	44	519	860	92	733	132	124	69	277	60
71	116	38	23	113	167	3	27	51	381	437	283	124	40	68	44	244	92	132	246	499
72	605	86	44	1018	107	195	1075	1674	647	740	1103	1101	125	843	1655	514	1000	1209	737	1133
73	321	766	420	184	128	23	1240	170	661	0	486	67	629	134	174	945	434	167	48	275
74	34	1043	682	620	632	35	907	33	46	2283	1025	2289	2193	16	388	608	40	1867	596	783
75	184	499	48	831	23	280	132	97	315	517	92	113	305	256	531	505	189	372	515	67
76	352	866	908	305	501	800	184	897	919	372	898	880	332	2237	881	515	889	1135	4	134
77	412	535	539	381	723	134	45	608	33	400	1311	361	645	648	1454	1520	726	639	690	50
78	104	3	406	68	38	48	533	113	128	92	1712	541	23	134	831	51	85	27	132	545
79	124	40	189	92	44	104	167	10	280	38	151	132	437	381	264	26	33	39	134	4
80	559	669	1231	44	1466	1158	136	1092	1237	206	718	743	124	661	994	213	338	51	1283	236
81	48	92	322	280	60	155	246	437	283	251	156	68	905	124	64	1058	137	133	86	202
82	64	237	1691	541	788	124	132	939	359	113	5	860	184	651	189	862	531	932	935	40
83	64	97	113	189	62	22	160	26	78	669	128	210	643	51	213	277	743	155	38	214
84	68	406	519	541	178	517	38	831	949	1157	499	544	860	1935	872	387	545	1712	524	1613
85	10	390	8	25	4	612	1046	33	9	46	632	609	682	608	50	40	32	37	2203	17
86	497	643	1018	78	60	64	1092	528	1226	546	62	714	189	1041	160	767	646	214	664	119
87	104	174	128	105	246	559	124	199	661	770	244	15	153	22	565	206	633	134	9	67
88	104	124	44	127	97	68	64	184	669	189	22	92	113	5	132	499	51	237	217	84
89	104	259	246	244	145	264	132	195	290	128	148	113	432	343	240	97	272	255	326	78
90	766	1298	183	206	770	199	13	797	22	104	392	631	170	865	756	565	84	1292	1310	1308
91	60	33	25	44	1691	64	541	1846	35	26	632	935	1523	939	124	1076	2203	22	783	273
92	132	155	195	762	643	64	630	646	124	1018	117	564	133	1133	217	187	205	127	120	1226
93	1005	1808	1810	1179	1114	1812	1111	1811	868	974	1130	603	209	594	1000	1570	294	1505	1993	1425
94	104	244	246	259	145	171	280	44	60	184	195	64	40	160	432	134	38	127	272	221
95	104	167	280	171	124	113	27	381	38	127	26	283	669	246	189	547	97	264	1528	85
96	1450	1448	665	1240	1253	1454	960	766	1491	1158	1511	1503	2040	174	1534	1231	1582	111	1619	1764
97	104	124	113	22	44	189	127	97	15	92	171	26	5	84	273	132	116	60	38	51
98	104	499	531	519	173	949	1105	524	349	178	885	2091	544	1157	1613	317	1485	1244	128	40
99	113	189	97	78	132	62	151	195	264	117	210	217	90	171	643	605	895	126	26	166
100	195	60	117	78	605	150	124	163	843	895	630	92	133	146	151	264	148	186	205	1184
101	104	38	788	273	231	50	766	541	454	44	790	64	263	669	1348	732	69	246	350	199
102	60	58	202	432	264	564	64	126	843	319	44	762	137	124	48	1184	555	90	1145	188
103	788	38	454	873	919	876	800	69	908	445	305	866	315	3	516	68	372	508	732	1387
104	97	127	217	78	62	210	113	209	643	92	199	546	664	434	60	189	1018	211	136	160
105	417	381	420	414	729	723	9	369	26	174	221	5	171	238	1256	1106	283	803	64	1194
106	559	136	338	199	1253	629	1237	121	1675	1963	560	434	1847	1283	839	486	960	159	1466	47
107	499	831	97	237	44	189	64	531	349	949	124	132	283	885	1005	84	22	92	127	5
108	22	608	5	612	596	726	558	206	585	207	46	426	19	719	424	632	37	2	642	655
109	97	406	48	92	885	1712	132	533	255	317	837	340	949	38	128	293	189	524	246	151
110	280	437	51	1528	23	417	504	104	156	134	39	116	381	109	27	221	151	505	529	238
111	9	1158	1126	632	1253	726	1283	629	1540	46	44	321	17	420	1465	661	1121	1195	585	964
112	349	949	533	517	837	387	532	60	831	885	999	293	1678	1162	92	697	1887	173	1879	2058
113	37	10	609	34	50	32	25	1076	35	1045	389	16	741	44	923	1531	1020	2223	1086	2183
114	237	406	349	837	97	541	885	831	132	92	189	44	532	1162	1005	544	60	64	387	1993
115	277	68	541	104	38	64	60	273	860	936	132	406	733	124	4	327	113	317	97	127
116	44	754	124	26	214	641	217	840	1259	211	1004	737	1037	237	205	1119	720	783	112	997
117	127	60	78	385	186	217	171	264	669	587	205	646	586	713	23	156	110	139	117	40
118	923	32	1314	389	25	1020	8	1086	632	16	1035	207	1045	2183	1076	46	35	1523	606	608
119	51	669	246	1158	559	321	97	84	92	336	213	184	420	743	38	64	217	206	147	714
120	990	754	714	758	97	44	98	555	189	1259	124	217	155	641	591	702	605	113	748	86
121	97	132	113	62	78	160	92	117	58	210	264	432	186	214	155	125	711	528	1018	150
122	273	1558	799	501	1387	199	1649	861	1233	38	1251	213	385	565	151	829	755	790	135	215
123	167	280	104	128	51	305	244	38	246	383	417	1106	372	256	504	1528	48	134	259	435
124	669	97	124	44	127	92	434	48	209	714	246	546	51	213	128	147	1712	62	23	743
125	417	134	109	104	420	153	1522	381	726	505	382	723	26	174	9	2	321	5	1106	55
126	97	113	406	44	244	349	151	58	517	546	78	3	524	264	519	885	272	280	256	432
127	719	585	199	1631	1015	64	14	44	721	726	1875	45	851	153	723	655	76	6	124	420
128	78	151	336	433	97	195	122	214	264	120	222	434	150	92	324	124	1107	127	1919	348
129	1475	714	217	92	711	160	1018	199	60	748	195	713	646	669	208	86	839	767	1022	975
130	51	542	958	67	258	381	365	1488	284	366	2483	276	945	124	132	504	383	97	453	156
131	13	614	273	184	104	15	116	177	22	537	815	1210	642	352	797	198	1301	527	1176	221
132	280	85	283	171	51	788	92	444	164	41	68	244	504	509	454	406	273	1194	908	465
133	189	160	97	58	432	605	125	68	264	843	148	541	349	1145	78	630	860	1674	64	150
134	38	4	184	866	273	315	919	68	876	454	3	512	877	932	243	881	898	1691	1135	869
135	22	381	600	535	797	608	10	7	756	177	104	539	798	15	390	743	994	283	168	424
136	104	264	132	27	128	69	64	437	3	263	97	501	68	417	512	124	4	85	908	44
137	246	48	23	546	486	559	184	97	258	44	321	256	1456	132	795	420	529	661	92	1240
138	22	217	758	97	1241	797	132	15	1018	19	1158	1005	192	990	60	177	669	535	113	1270
139	321	104	1450	559	629	723	766	1449	726	1253	1240	1278	1195	1231	1158	153	9	246	719	1448
140	321	420	246	44	51	128	559	124	669	153	9	64	662	23	0	661	1158	766	134	719
141	51	244	23	40	134	317	68	381	315	280	64	515	113	92	499	5	22	50	67	189
142	48	171	4	305	128	64	264	733	23	151	280	167	60	124	541	51	246	435	40	221
143	113	38	189	60	97	48	64	44	124	92	541	733	4	237	62	184	134	58	317	127
144	184	38	4	733	454	231	273	243	263	866	332	218	732	305	897	800	1135	287	1150	435
145	9	26	22	321	14	662	1158	199	128	134	723	411	608	600	213	19	1098	1253	115	23
146	97	132	264	189	124	62	432	128	171	166	319	51	110	433	259	74	163	528	903	1712
147	895	386	150	166	124	528	646	119	62	6	713	849	319	171	133	656	975	840	641	587
148	104	132	68	336	145	127	92	124	167	497	434	317	258	831	343	714	194	533	229	275
149	184	273	280	435	420	669	499	116	174	5	67	383	417	9	168	68	661	259	321	7
150	189	733	116	283	97	26	173	376	15	437	690	531	109	769	808	86	896	315	528	369
151	189	104	515	116	132	243	97	335	290	537	44	184	331	124	113	740	22	909	815	60
152	352	1162	4	1157	1887	522	812	932	2323	517	237	406	340	231	541	179	1150	50	515	657
153	104	38	134	788	305	790	3	263	218	541	69	515	919	44	891	876	350	732	64	246
154	534	171	13	89	40	729	22	657	900	164	335	15	290	20	547	104	203	175	396	521
155	27	3	1359	382	171	396	481	1366	639	38	567	164	116	1407	435	280	128	221	428	82
156	22	755	711	633	62	177	75	676	382	113	669	210	132	1308	203	1185	814	769	19	587
157	9	1158	726	321	609	8	629	585	414	153	1253	14	1126	1195	723	1450	45	559	44	338
158	184	231	866	733	305	800	454	69	908	1691	790	937	732	919	515	941	350	435	317	2237
159	68	406	44	38	64	124	92	531	831	128	48	499	533	127	517	541	134	23	97	22
160	174	23	669	661	104	67	0	766	1651	275	170	1730	9	259	1545	87	355	795	26	529
161	104	132	60	4	3	97	64	517	44	1712	69	733	134	160	387	860	195	124	519	85
162	432	375	775	993	1162	86	1118	936	237	58	117	2259	268	38	555	146	564	322	1172	144
163	719	420	2	723	414	115	9	585	82	14	679	134	12	321	174	1847	199	1531	1761	417
164	1004	603	600	1005	611	1119	758	1474	948	615	212	1000	77	1001	206	1110	961	646	1241	702
165	376	1118	40	221	603	515	141	10	538	167	33	64	5	743	246	470	280	1014	740	218
166	1712	519	68	104	267	831	480	387	173	544	541	92	2058	1244	48	463	349	1524	85	1613
167	104	64	22	127	113	97	48	132	5	116	128	171	60	184	244	92	38	23	167	217
168	124	104	97	116	244	434	711	175	661	755	183	611	1228	168	1158	547	139	597	174	194
169	124	38	132	434	662	51	213	1158	128	237	60	559	338	277	0	189	218	541	406	259
