id	top_0	top_1	top_2	top_3	top_4	top_5	top_6	top_7	top_8	top_9	top_10	top_11	top_12	top_13	top_14	top_15	top_16	top_17	top_18	top_19
0	10	381	134	390	609	104	608	44	167	420	505	207	128	414	153	124	531	417	632	612
1	78	23	151	669	264	64	246	1528	546	51	110	90	428	420	210	434	44	244	195	719
2	711	97	273	132	217	92	15	755	48	60	210	213	587	642	40	160	171	151	713	26
3	44	64	669	209	434	714	97	48	136	132	662	199	743	78	92	611	246	62	546	151
4	372	515	524	542	134	454	435	790	958	527	167	470	336	788	457	322	505	509	732	1011
5	134	27	171	729	1194	1256	690	880	547	113	437	9	124	26	608	382	726	719	23	4
6	62	189	124	64	160	117	60	44	127	128	210	217	155	125	246	895	51	528	843	244
7	167	128	264	1528	259	246	312	104	305	151	529	38	164	520	242	538	326	593	704	917
8	244	23	499	184	134	68	831	92	116	256	97	305	381	509	171	283	406	669	437	189
9	608	64	612	46	426	682	381	273	1046	385	127	798	414	603	221	218	168	662	864	1256
10	515	350	315	116	221	527	335	537	176	40	243	244	381	499	316	521	167	1200	168	890
11	44	124	434	104	611	206	246	97	64	113	51	48	189	132	199	22	420	321	766	217
12	619	605	217	714	155	767	26	748	630	762	775	1018	209	151	195	166	214	662	210	641
13	104	246	315	669	128	23	420	0	305	766	524	372	321	3	44	515	273	167	499	48
14	264	132	171	151	51	27	501	246	437	4	790	895	195	97	59	508	512	454	465	120
15	352	866	69	788	501	1691	919	332	897	800	862	876	877	790	943	915	508	2237	38	104
16	62	209	60	1241	775	246	364	605	43	758	493	214	555	51	762	546	119	1008	98	998
17	113	124	132	528	26	33	186	78	151	538	264	605	619	195	119	92	646	783	22	171
18	64	273	86	294	68	202	651	5	929	92	1000	1162	603	860	62	936	993	788	743	738
19	113	189	64	92	124	44	60	127	128	237	51	62	38	160	184	244	23	171	22	5
20	60	50	733	783	10	237	44	939	132	32	113	189	591	1316	1904	287	673	34	1047	682
21	189	116	537	104	40	514	44	1118	5	117	171	48	151	242	188	259	128	243	575	168
22	64	1241	113	127	643	22	1014	1005	740	5	1270	277	213	206	432	322	434	48	288	192
23	104	184	547	5	221	124	64	26	171	382	381	40	167	290	176	19	41	437	315	89
24	132	189	97	104	68	155	62	277	86	929	38	40	5	287	605	619	217	512	184	134
25	729	89	400	695	521	1194	385	386	274	399	382	871	692	264	675	1298	711	727	1364	688
26	766	559	9	611	124	199	246	662	434	174	719	0	770	633	629	1253	51	64	1158	22
27	134	381	128	9	321	244	661	153	0	505	669	22	662	283	559	48	1106	611	1158	417
28	215	714	214	211	664	44	199	127	57	546	213	132	728	1018	1578	1563	990	160	1336	662
29	524	372	831	246	280	43	499	134	3	505	305	266	444	68	383	317	509	435	109	2091
30	633	175	15	1236	183	600	45	585	1795	562	617	1298	851	1509	755	1516	1631	76	756	631
31	23	499	524	68	3	167	184	831	134	244	305	280	372	92	43	256	67	533	509	669
32	1158	209	246	1131	44	486	153	431	611	67	743	964	84	428	714	338	719	236	1582	48
33	116	13	547	729	171	89	19	207	521	335	382	900	84	828	1301	426	566	198	20	33
34	723	153	414	770	134	411	321	170	199	547	23	115	661	109	648	0	45	381	2041	47
35	64	184	669	128	92	177	15	259	134	171	755	1228	67	547	206	642	167	0	797	499
36	104	10	33	40	283	690	4	207	729	134	390	189	27	14	381	221	1256	400	50	22
37	690	1256	396	1359	27	557	164	1024	576	1526	89	10	1338	593	1528	283	39	704	116	1745
38	104	866	3	69	501	454	873	897	508	800	516	541	1135	332	512	898	869	881	445	243
39	99	6	655	215	1472	1468	1698	113	748	845	44	1080	199	528	1154	1071	216	975	615	1003
40	104	134	4	263	128	305	184	790	113	381	132	167	50	788	40	171	3	435	283	48
41	643	214	217	641	189	754	758	277	775	737	1041	975	558	587	112	615	1075	611	1674	720
42	352	3	4	866	880	231	305	937	69	273	862	501	332	800	790	733	908	68	732	508
43	44	10	64	682	207	612	632	46	189	209	596	390	1005	97	33	635	14	331	1046	213
44	400	690	396	803	1338	221	1038	1681	674	521	583	1644	871	392	1364	369	1596	723	1386	983
45	2376	2382	1505	1178	1818	1899	1217	2641	2651	2393	3006	2383	1134	2671	1732	1977	2259	1006	2365	2361
46	51	420	244	246	104	105	1106	280	669	48	1528	124	381	109	134	321	661	153	9	505
47	64	33	60	151	390	575	608	62	45	567	843	711	164	1256	163	335	590	1341	755	221
48	44	97	127	92	78	217	246	51	669	128	714	376	259	26	432	186	743	546	434	167
49	517	406	3	831	499	519	545	1712	178	237	544	173	541	531	349	267	2056	2279	522	872
50	499	517	531	4	68	184	3	837	38	349	949	406	519	788	541	524	1162	243	533	113
51	132	92	97	240	264	78	432	160	130	90	406	189	65	1145	903	93	68	843	137	72
52	322	555	970	98	96	542	714	263	758	189	619	242	958	1190	646	1328	119	381	1258	1155
53	766	633	183	22	177	1195	756	797	723	13	547	562	170	420	1001	1310	1448	273	696	45
54	104	23	48	51	124	44	113	381	246	134	26	64	127	9	669	40	171	27	0	132
55	116	515	315	164	221	171	40	317	335	509	168	273	305	524	437	283	669	89	242	124
56	949	499	517	340	831	349	885	1712	519	541	860	1162	1887	3	853	173	113	545	2056	524
57	113	586	160	119	603	48	741	666	740	19	218	40	678	23	273	600	720	755	970	259
58	9	661	726	669	662	23	124	26	1253	611	64	665	128	2	381	184	434	22	127	1348
59	264	113	189	195	151	132	166	78	48	160	895	150	62	437	891	27	90	319	1256	432
60	544	519	340	387	545	237	267	178	3	860	992	522	949	1887	429	1524	872	1935	1882	993
61	1310	136	153	770	1528	1272	792	128	719	1503	382	171	124	42	437	116	23	1586	945	82
62	315	231	317	897	732	1135	305	263	800	4	445	516	919	372	3	908	68	877	363	932
63	113	132	97	48	189	60	4	788	541	128	406	44	317	40	124	50	184	263	86	837
64	92	151	195	895	189	128	150	23	97	117	90	160	123	167	669	27	68	437	713	110
65	4	50	22	64	237	273	40	44	189	92	531	3	15	38	127	517	541	352	134	788
66	420	153	105	719	0	669	770	428	199	766	559	9	23	414	565	723	1394	1545	629	143
67	134	420	206	44	321	381	50	9	723	535	499	315	124	0	64	174	177	661	23	51
68	51	167	383	453	23	1106	246	306	258	67	355	259	337	256	505	312	1902	491	520	542
69	790	876	897	873	908	454	800	880	937	898	516	877	881	2215	368	869	372	445	1162	889
70	104	68	38	541	406	237	788	4	48	64	92	134	519	132	733	44	790	860	305	273
71	23	167	38	116	113	51	3	381	27	437	40	68	246	92	244	124	132	283	305	4
72	605	86	44	1018	740	1075	107	195	647	843	1101	1674	125	22	1103	277	737	1000	514	1145
73	420	321	766	23	184	67	128	170	134	0	486	661	174	434	1240	945	167	629	48	38
74	682	34	1043	33	35	46	632	620	907	16	2193	608	2289	388	596	1025	2283	1867	40	783
75	184	48	499	23	831	280	132	92	305	113	315	517	97	256	67	531	372	505	515	116
76	352	866	305	501	908	184	800	372	919	897	134	880	881	515	332	4	898	1135	889	869
77	535	134	539	412	381	33	608	723	45	400	1311	361	645	10	648	609	639	50	1520	260
78	104	3	38	68	406	48	113	92	128	533	134	23	541	51	1712	132	167	85	27	97
79	189	40	92	10	134	124	104	132	167	33	44	437	38	381	264	151	280	4	26	58
80	559	669	1231	136	44	1092	1466	743	1237	1158	718	124	206	994	1283	661	236	338	51	213
81	48	92	246	322	280	60	155	68	437	64	202	137	156	124	905	251	133	283	148	465
82	64	237	1691	113	788	541	939	132	124	531	359	860	189	932	184	862	5	1846	935	651
83	113	64	97	189	62	22	160	26	669	78	213	128	210	277	246	155	51	743	434	528
84	68	406	519	541	38	517	178	499	831	949	872	544	524	1935	1157	860	1712	387	545	317
85	10	25	390	33	4	8	612	46	682	50	40	1046	608	32	609	9	37	2183	16	632
86	78	643	60	528	497	62	64	546	1018	160	1092	714	189	155	214	1226	119	775	767	664
87	104	174	246	105	128	124	559	770	661	134	199	15	67	22	565	273	153	1348	9	244
88	104	127	44	124	184	64	97	68	22	113	669	189	132	92	5	499	51	237	434	217
89	104	132	246	244	259	264	148	195	113	145	290	128	432	272	97	78	255	326	343	117
90	766	183	770	206	1298	199	22	797	104	170	420	13	756	1529	565	392	1310	631	174	273
91	33	25	60	44	1691	64	1846	939	541	35	1523	26	935	124	1076	273	632	22	1054	783
92	132	155	762	195	64	630	646	643	117	124	133	1018	217	564	187	1715	1133	1726	130	127
93	1005	1808	1810	1111	1179	974	1114	1130	209	1000	594	1812	294	1811	603	868	1004	431	1131	1993
94	244	104	246	259	145	280	134	64	184	171	60	432	44	195	160	38	127	326	272	40
95	104	167	280	124	113	171	27	381	38	127	26	246	669	420	283	189	1528	547	264	85
96	1450	665	1240	1448	766	1253	960	1454	1511	1491	2040	1503	174	1158	111	1619	718	199	2337	414
97	104	124	113	22	189	44	127	97	92	15	273	132	26	5	171	84	116	51	38	60
98	104	499	531	524	519	173	1105	949	178	349	544	134	2091	885	1157	1613	4	317	429	128
99	113	132	189	97	78	62	151	195	264	217	117	210	148	90	432	155	605	166	643	171
100	195	60	117	605	78	843	124	150	133	148	92	630	895	155	130	163	186	146	264	151
101	104	38	788	273	50	766	790	231	541	64	246	1348	524	732	669	44	454	263	908	519
102	60	58	202	432	843	264	64	137	564	762	319	1145	126	48	44	124	1184	188	90	1202
103	788	38	873	876	919	908	454	305	69	3	800	866	445	516	68	315	508	372	732	891
104	97	113	127	217	78	62	210	209	434	92	643	664	546	136	211	199	160	60	711	189
105	417	420	381	414	174	723	9	26	1256	221	729	238	437	171	369	1106	45	5	64	124
106	559	136	199	338	1237	1253	121	434	629	1675	560	1963	839	1283	766	1453	1847	486	770	159
107	499	97	831	237	44	64	189	531	124	132	949	22	92	349	127	84	5	184	60	26
108	22	608	5	596	612	46	719	19	558	726	207	37	206	682	642	426	585	655	424	10
109	97	92	48	132	406	885	533	1712	255	317	949	38	128	340	246	837	524	432	189	62
