id	top_0	top_1	top_2	top_3	top_4	top_5	top_6	top_7	top_8	top_9	top_10	top_11	top_12	top_13	top_14	top_15	top_16	top_17	top_18	top_19
0	10	381	390	609	134	167	44	104	608	420	207	632	128	505	124	414	531	726	153	612
1	78	23	151	669	264	546	246	64	51	1528	110	420	90	428	210	199	44	195	244	719
2	711	97	48	132	273	92	217	210	60	755	15	587	713	171	213	40	160	642	669	385
3	44	669	209	64	97	434	714	48	136	662	199	743	132	246	546	62	78	643	51	92
4	372	515	524	542	134	435	454	958	790	167	470	527	336	788	322	509	1014	1011	457	505
5	134	27	171	1194	729	690	880	1256	113	437	547	124	9	26	23	50	22	382	726	719
6	62	189	117	160	64	124	60	44	127	128	210	125	246	51	217	895	155	171	86	244
7	167	128	264	1528	259	312	246	104	529	151	305	1106	520	538	123	38	242	326	704	171
8	244	23	499	184	134	831	68	92	116	97	509	171	305	256	381	189	283	669	437	406
9	608	64	46	612	426	682	381	273	385	1046	127	798	414	218	864	221	603	168	662	1034
10	515	315	350	116	221	527	335	40	537	244	243	176	167	499	316	381	1200	521	470	168
11	44	124	104	434	206	246	97	611	51	48	199	64	189	113	40	420	22	321	766	132
12	605	619	767	714	26	217	155	775	630	748	209	1018	762	195	166	641	210	662	151	264
13	104	246	315	669	23	420	128	766	0	524	305	44	321	372	3	273	167	515	48	350
14	264	171	51	132	246	151	27	501	437	195	895	790	4	512	120	59	97	39	454	508
15	352	866	69	788	501	1691	919	332	897	876	800	943	915	862	877	790	2237	508	38	1366
16	62	209	60	1241	775	246	605	555	51	493	364	758	762	546	214	119	43	98	48	1008
17	113	124	132	26	528	33	186	78	538	264	151	195	605	119	619	92	171	432	783	646
18	64	273	86	202	5	294	651	68	92	1000	62	929	743	860	603	993	188	1162	775	160
19	113	189	64	44	92	124	60	127	237	51	128	62	160	38	171	184	244	23	5	22
20	60	50	783	733	10	237	32	44	939	132	34	1904	1316	189	591	113	673	287	2203	682
21	189	116	40	537	104	171	44	514	5	117	48	242	1118	188	259	168	151	575	128	243
22	64	1241	113	643	1014	22	127	5	1005	740	1270	277	206	432	213	322	48	434	288	605
23	104	184	547	5	171	124	382	221	64	26	40	167	381	290	19	315	41	176	437	38
24	132	189	97	104	68	62	277	155	86	40	38	5	287	929	605	512	619	184	119	133
25	729	89	695	400	1194	521	385	386	399	871	274	382	675	692	264	1298	727	1364	688	1301
26	766	559	9	199	124	611	246	662	51	629	633	434	719	174	0	1253	1158	64	22	486
27	134	9	128	381	321	244	661	0	669	153	22	505	1106	662	48	283	559	1158	743	109
28	215	714	214	664	211	44	199	127	546	57	213	1578	728	1018	132	1563	48	160	1285	990
29	524	372	280	246	831	499	43	134	266	3	505	383	305	444	68	509	2180	1902	435	109
30	633	175	15	600	585	183	45	562	1236	851	1795	617	1298	76	1516	1631	755	1509	696	756
31	23	499	167	524	3	244	184	68	831	134	280	305	92	372	43	67	533	509	669	517
32	1158	209	246	44	1131	486	431	153	964	743	67	338	611	84	1582	428	48	719	714	236
33	116	13	547	729	171	19	89	335	382	207	828	521	84	1301	900	426	419	635	33	1210
34	723	153	411	134	414	199	321	23	770	547	109	661	115	2041	170	648	0	381	45	392
35	64	184	669	128	92	177	259	171	15	206	134	755	67	1228	547	167	642	156	499	343
36	104	33	10	283	40	729	690	207	4	134	189	390	27	381	14	22	50	1256	400	221
37	690	1256	557	396	27	1359	1024	576	164	1526	10	593	283	89	116	39	1528	1338	704	1059
38	104	866	69	3	454	501	897	873	800	508	516	541	512	898	332	869	1135	881	445	287
39	99	6	1472	215	655	1468	845	748	1698	44	113	199	1080	975	615	1154	1071	528	728	1003
40	104	134	4	263	128	184	305	790	167	113	381	171	132	40	50	788	435	48	273	283
41	643	641	214	217	754	189	758	277	775	737	975	1041	558	112	615	587	1075	1674	857	376
42	352	866	3	4	880	231	69	305	937	273	862	332	800	501	733	908	790	508	870	732
43	44	64	10	682	207	46	632	209	189	612	596	1005	390	97	33	635	331	1046	213	14
44	690	400	803	396	1338	221	1038	1681	521	674	583	369	392	1364	871	1386	1644	983	1596	723
45	2376	1505	2382	1178	1818	1899	1217	2393	2641	2651	2383	3006	1006	1134	2671	1732	1229	2259	1977	1925
46	51	420	244	246	1106	105	104	280	669	48	109	124	1528	321	661	381	134	259	9	428
47	64	33	60	151	575	567	390	62	45	608	843	163	335	590	711	1341	1256	164	713	1382
48	44	97	127	78	92	246	51	217	669	376	128	546	714	432	743	259	26	186	167	5
49	517	406	499	831	3	519	545	178	1712	173	237	544	541	349	531	2279	2056	267	405	522
50	499	517	531	837	4	184	68	3	349	38	949	406	519	541	524	788	533	885	1162	113
51	264	97	132	92	240	78	432	160	189	90	130	65	406	93	903	137	72	1712	843	1145
52	322	555	98	970	96	542	263	714	758	189	242	958	1190	619	119	1258	1328	1155	381	646
53	633	766	183	22	177	1195	756	797	562	723	13	547	420	1310	1448	1001	170	273	45	696
54	23	48	104	51	124	44	113	381	9	246	669	40	127	26	134	64	171	123	0	27
55	116	315	515	171	221	40	164	317	509	335	168	273	669	470	283	524	242	437	124	499
56	949	517	499	340	831	349	885	1712	519	541	860	1887	1162	173	545	3	853	113	2056	524
57	113	586	160	119	48	603	678	666	741	40	740	218	19	23	600	273	720	167	622	964
58	9	661	669	726	23	662	124	26	1253	64	611	128	665	22	2	381	184	434	206	1348
59	264	189	195	113	166	151	160	132	78	48	62	895	150	432	117	90	120	116	891	437
60	544	519	545	340	387	237	267	178	860	3	992	522	1887	1524	429	949	993	1935	872	2241
61	136	1310	1528	1272	153	770	171	382	792	128	1503	719	116	124	42	437	23	729	321	814
