id	top_0	top_1	top_2	top_3	top_4	top_5	top_6	top_7	top_8	top_9	top_10	top_11	top_12	top_13	top_14	top_15	top_16	top_17	top_18	top_19
0	10	381	390	134	609	608	104	44	167	420	505	632	124	207	128	414	417	153	531	612
1	78	23	151	669	264	246	64	1528	546	110	51	428	90	210	44	195	420	434	719	199
2	711	97	217	48	132	92	273	210	60	755	15	713	171	587	40	213	385	642	151	160
3	44	669	64	209	97	434	714	48	743	662	136	199	246	132	62	78	92	611	643	546
4	372	515	524	542	134	454	435	958	790	470	167	527	788	336	457	322	509	1011	506	732
5	134	27	171	729	1194	690	1256	880	113	547	124	437	9	23	26	608	719	726	1528	4
6	62	189	160	124	64	117	60	44	127	128	210	125	217	246	155	51	895	86	843	528
7	167	128	1528	264	246	259	305	104	312	151	529	164	520	38	123	242	704	538	593	1106
8	244	23	499	184	134	68	831	92	97	116	305	256	381	509	171	189	406	283	669	437
9	608	64	612	46	426	682	381	385	1046	273	127	798	218	414	221	603	864	168	662	1034
10	515	350	315	116	221	527	335	40	537	243	176	244	381	316	1200	521	499	167	470	168
11	44	124	434	104	246	206	611	97	64	113	48	51	199	189	766	743	40	217	132	420
12	619	605	217	767	714	155	26	630	775	748	762	1018	195	209	151	166	641	210	48	662
13	104	246	315	669	23	766	128	0	420	524	305	44	372	321	515	3	48	167	124	350
14	264	171	132	51	27	501	151	246	437	195	97	895	4	790	508	59	512	454	39	120
15	352	866	69	788	501	919	1691	332	897	800	943	876	877	862	790	915	508	2237	38	104
16	62	209	60	1241	775	246	555	493	758	605	51	364	762	214	43	119	98	546	48	1008
17	113	124	132	528	26	33	186	151	78	538	264	195	119	605	619	92	646	171	783	630
18	64	273	86	202	651	294	68	5	1000	92	62	860	1162	743	929	603	775	993	188	160
19	113	189	64	92	44	124	60	127	237	128	51	62	38	160	171	23	244	184	5	22
20	60	783	50	733	10	237	44	32	939	132	113	189	591	1316	1904	673	287	1047	34	682
21	189	116	40	537	104	44	171	48	514	117	5	188	1118	575	151	242	243	316	259	168
22	64	1241	113	643	127	22	1014	1005	5	740	277	1270	206	213	432	48	434	322	192	288
23	104	547	184	5	124	221	171	64	382	26	381	40	290	167	19	41	176	38	315	437
24	132	189	97	104	68	277	155	62	86	40	38	287	5	929	619	217	605	512	119	134
25	729	89	400	695	385	521	1194	386	399	274	871	692	382	675	264	727	688	1298	711	1301
