id	top_0	top_1	top_2	top_3	top_4	top_5	top_6	top_7	top_8	top_9	top_10	top_11	top_12	top_13	top_14	top_15	top_16	top_17	top_18	top_19
0	10	381	390	609	134	608	104	167	44	632	505	420	128	414	207	612	726	124	531	417
1	78	151	23	669	264	546	246	64	1528	51	110	90	210	428	434	244	420	199	895	195
2	711	97	755	217	92	48	132	273	210	171	60	151	15	213	587	642	714	713	40	160
3	44	669	64	209	97	714	434	48	743	199	662	246	136	132	92	78	62	546	611	643
4	515	372	524	542	454	435	134	958	790	470	167	336	527	788	322	457	1014	1011	509	505
5	134	27	171	1194	729	880	690	1256	113	437	547	9	124	726	26	608	719	5	382	4
6	62	189	64	117	160	124	44	60	127	128	210	125	246	217	895	171	86	51	155	244
7	167	128	264	1528	246	312	259	151	529	104	305	520	1106	123	326	593	704	538	171	38
8	244	23	499	184	68	831	134	92	97	256	116	171	509	305	283	381	406	189	669	437
9	608	64	612	426	46	682	381	273	1046	127	798	385	414	603	218	662	221	168	864	739
10	515	350	315	116	221	527	335	537	176	40	244	243	499	470	316	167	381	1200	793	618
11	44	434	104	124	246	206	97	611	64	48	199	51	113	189	766	40	321	420	22	132
12	619	605	767	714	217	748	26	762	630	1018	775	155	209	195	151	166	641	214	210	211
13	104	246	315	669	128	766	0	420	23	515	305	524	44	350	273	321	372	48	3	167
14	171	264	151	27	132	246	51	437	501	895	97	454	512	39	59	195	4	790	432	465
15	352	866	69	788	501	919	1691	943	897	332	800	915	862	876	877	790	2237	508	38	1366
16	62	209	60	775	1241	246	555	605	762	119	758	214	493	98	51	364	546	43	86	1008
17	113	124	132	26	528	186	33	151	78	538	264	605	195	119	619	92	171	783	646	432
18	64	273	86	651	5	202	68	92	294	62	743	603	1000	860	929	1162	993	188	936	775
19	113	189	64	92	124	44	60	127	237	171	128	62	160	51	38	244	5	22	184	23
20	60	783	50	733	237	10	32	939	44	1904	132	34	591	673	682	2203	287	1047	189	1316
21	189	537	116	171	40	104	44	514	5	242	151	188	48	1118	117	243	168	259	15	808
22	64	1241	113	643	1014	127	22	740	1005	5	1270	277	213	206	432	322	48	434	192	288
