id	top_0	top_1	top_2	top_3	top_4	top_5	top_6	top_7	top_8	top_9	top_10	top_11	top_12	top_13	top_14	top_15	top_16	top_17	top_18	top_19
0	10	381	390	609	134	167	44	632	104	608	207	414	505	726	128	420	612	417	531	124
1	78	151	23	669	264	546	51	1528	246	64	90	244	428	110	44	210	195	280	199	420
2	711	97	132	217	755	92	273	48	210	60	151	171	713	714	40	587	15	642	213	62
3	44	209	669	64	714	97	434	48	132	199	662	611	62	92	51	136	151	743	78	546
4	515	372	524	542	454	435	134	790	958	167	470	527	457	788	493	322	336	1014	506	505
5	134	171	27	1194	729	880	690	1256	113	547	9	726	4	382	437	5	23	26	124	50
6	62	189	160	124	117	60	44	64	127	128	210	51	125	217	895	171	714	246	244	155
7	167	128	264	259	1528	529	312	520	305	246	151	104	1106	123	704	538	38	593	917	542
8	244	23	499	68	184	831	134	92	97	116	256	171	305	381	509	283	189	2091	406	44
9	608	64	612	426	381	46	682	273	798	1046	127	385	414	603	662	218	168	864	221	792
10	515	350	315	116	527	221	40	335	537	244	176	381	243	167	316	1200	618	499	168	793
11	44	124	104	206	611	434	246	97	51	199	48	40	64	113	189	420	9	132	321	766
12	619	605	767	714	217	26	630	762	209	1018	155	748	775	151	195	166	641	214	210	264
13	104	315	246	669	0	305	128	23	515	372	766	420	44	350	273	3	524	167	499	48
14	264	171	151	51	132	27	246	501	195	437	895	97	512	59	4	160	454	790	39	120
15	352	866	69	788	501	1691	919	332	897	943	915	800	876	862	2237	877	508	790	1366	908
16	62	209	60	1241	775	555	758	493	605	246	762	214	119	98	364	51	43	546	1008	86
17	113	132	124	26	528	186	151	78	33	264	195	538	619	646	605	92	119	783	171	630
18	64	273	651	68	5	86	202	294	92	62	1000	603	929	1162	860	993	743	936	188	160
19	113	189	44	64	92	60	124	127	160	51	62	237	171	128	38	244	23	116	264	5
20	60	783	50	733	10	44	939	132	237	32	34	1904	287	591	2203	673	628	682	1047	1316
21	189	40	116	537	1118	44	171	151	514	5	168	104	259	188	48	117	243	316	808	128
22	1241	64	643	113	1014	127	22	740	1005	5	277	1270	206	213	432	322	192	288	48	151
23	104	547	184	5	171	124	382	64	26	221	381	40	167	176	315	41	19	283	290	392
24	132	189	97	68	104	277	62	155	40	287	929	38	512	5	619	86	184	605	217	26
25	729	89	400	695	1194	521	274	385	399	382	871	264	386	692	1364	1301	675	537	895	688
26	9	559	611	766	199	124	246	629	662	51	633	719	0	1253	1158	174	434	64	770	617
27	134	9	381	128	321	244	0	661	153	505	22	669	283	1106	1158	48	662	559	726	417
28	215	714	214	664	211	44	199	127	546	57	132	1018	213	1578	728	990	1563	160	2292	1285
29	524	372	280	831	43	246	499	505	266	305	3	383	68	134	444	2180	1902	317	435	529
30	633	175	585	15	1236	851	600	562	1795	755	183	45	76	617	696	1298	631	1516	756	1631
31	167	499	23	68	3	244	831	184	524	134	305	280	92	372	43	67	256	509	283	533
32	1158	209	1131	486	44	246	431	153	611	964	67	428	743	714	84	1582	719	338	597	48
33	116	547	729	13	171	1301	89	19	207	84	382	828	900	715	426	419	521	335	566	4
34	723	153	411	134	414	199	770	23	547	321	109	115	2041	0	661	170	381	392	865	47
35	64	184	669	92	128	755	171	259	177	67	547	1228	15	134	642	206	167	58	499	156
36	283	729	690	104	10	40	207	33	14	390	27	4	189	400	381	134	1256	221	50	1333
37	690	1256	396	557	27	1024	1359	576	1526	283	164	593	10	116	39	89	1745	1528	1338	704
38	104	866	454	897	69	873	3	800	501	508	332	512	898	541	516	1135	869	287	881	243
39	99	6	1472	655	215	44	113	748	199	845	1468	1071	975	1698	528	216	728	641	1154	1080
40	104	134	4	263	305	128	132	381	184	790	40	167	171	50	113	788	733	435	51	116
41	643	214	641	217	758	754	189	277	775	737	975	112	1041	558	1075	587	1674	611	615	720
42	352	880	866	4	231	3	332	305	69	937	800	862	733	908	501	273	870	932	790	508
43	44	10	64	207	632	682	209	612	46	189	97	390	596	14	1005	331	635	1115	1046	213
44	690	400	803	396	1338	221	1038	1681	674	583	1364	1644	521	392	723	1516	1596	1386	369	871
45	2376	1505	1178	1818	2382	1899	1217	2393	2651	2641	2383	3006	1006	1977	1732	3108	2671	1134	1229	1994
46	51	244	420	1106	105	246	280	104	669	48	1528	9	381	109	124	661	134	428	505	321
47	64	33	151	60	390	62	567	575	163	608	45	590	711	843	1341	1256	335	755	164	713
48	44	97	127	78	92	51	217	714	246	128	259	669	546	376	432	186	26	167	209	743
49	517	831	499	406	519	3	545	178	1712	173	544	237	349	531	541	1244	2056	267	522	2279
50	499	517	531	68	837	349	949	4	3	38	184	406	519	1162	541	533	885	788	524	331
