id	top_0	top_1	top_2	top_3	top_4	top_5	top_6	top_7	top_8	top_9	top_10	top_11	top_12	top_13	top_14	top_15	top_16	top_17	top_18	top_19
0	10	381	390	134	609	167	608	104	44	207	632	420	726	505	128	414	124	612	417	153
1	78	23	151	669	264	546	246	64	1528	110	51	428	90	244	420	210	199	434	44	280
2	711	97	48	217	92	273	755	132	210	171	587	60	713	213	40	15	160	78	642	385
3	44	669	64	209	714	97	434	48	136	662	199	743	246	546	132	78	92	62	643	611
4	372	515	524	542	454	134	435	958	790	470	167	527	336	788	457	322	1011	509	1014	504
5	134	171	27	1194	729	880	1256	690	547	437	113	9	726	124	26	382	719	4	23	82
6	62	189	160	64	117	124	44	60	127	128	210	125	246	217	244	171	895	126	155	51
7	167	128	264	1528	259	312	246	529	305	104	151	1106	538	520	38	704	171	326	123	242
8	244	23	499	184	134	831	68	92	116	97	171	305	256	509	283	381	406	189	669	1105
9	608	64	46	612	426	682	381	273	1046	385	798	127	218	414	603	662	864	168	221	1034
10	515	350	315	116	527	221	335	537	40	244	176	243	499	316	167	470	381	1200	365	793
11	44	124	434	104	246	206	611	48	64	97	199	113	189	51	40	22	321	209	743	420
12	605	619	767	217	714	26	630	1018	775	762	748	155	209	195	641	166	214	210	151	48
13	104	246	315	669	23	128	420	0	766	305	515	44	321	524	48	273	372	167	350	3
14	264	171	246	27	51	151	132	437	501	39	512	454	4	895	59	195	97	126	120	432
15	352	866	69	788	501	919	1691	332	800	897	943	915	876	862	877	2237	508	790	1366	38
16	62	209	60	775	1241	246	555	605	493	762	119	758	214	364	98	546	51	48	43	1232
17	113	124	132	26	528	33	186	78	538	151	264	119	605	619	195	92	783	171	432	646
18	64	273	202	86	5	294	651	68	92	1000	603	743	62	860	929	1162	993	775	188	738
19	113	189	64	92	44	124	60	127	237	128	160	171	62	244	38	51	184	23	22	264
20	60	783	50	733	237	32	10	939	44	132	34	1904	591	287	682	189	673	113	628	1316
21	189	537	40	116	171	514	48	104	44	1118	5	242	168	188	117	808	259	243	316	151
22	64	1241	643	113	1014	22	127	1005	740	1270	5	277	432	213	206	48	322	288	434	192
23	104	547	184	5	171	64	124	382	26	221	40	381	167	290	176	315	41	283	19	38
24	132	189	97	104	68	277	62	155	40	38	287	86	512	929	605	5	619	119	184	217
25	729	89	400	695	521	1194	385	386	399	274	382	871	675	692	264	1364	537	1301	74	1298
26	559	766	9	199	611	124	246	662	633	434	719	629	174	51	64	0	1158	1253	770	22
27	134	9	321	128	381	244	661	153	0	669	22	505	662	48	1106	283	1158	559	743	726
28	215	714	214	664	211	44	199	546	127	57	213	1578	1018	728	48	1563	1285	132	990	160
29	524	372	280	831	246	499	43	134	505	266	3	305	383	68	444	2180	317	435	509	1902
30	633	175	585	600	15	183	562	1236	45	1795	851	617	755	76	1298	1516	1631	696	1509	631
31	499	167	23	244	831	68	3	524	184	134	305	280	92	372	43	67	509	533	517	283
32	1158	209	246	1131	486	431	44	153	67	743	964	338	611	428	84	48	714	719	1582	236
33	116	13	547	171	729	89	19	207	1301	382	828	335	521	84	900	426	33	419	1210	20
34	723	153	411	134	414	770	199	321	547	23	109	648	661	115	2041	170	381	0	392	45
35	64	184	669	92	128	177	259	171	755	67	134	547	206	15	1228	167	642	156	499	316
36	33	104	283	40	10	729	207	4	134	690	27	14	390	189	400	381	1256	22	221	50
37	690	1256	557	396	27	1359	1024	576	1526	164	283	39	89	10	593	116	1528	1338	704	1414
38	104	866	454	69	3	873	800	897	501	508	541	516	512	898	332	869	881	1135	445	287
39	99	6	1472	215	655	845	1468	1698	748	44	199	113	975	1071	1154	1080	615	728	1003	528
40	104	134	4	263	128	305	184	167	171	381	40	113	788	790	132	50	435	48	283	733
41	643	214	641	217	754	189	758	277	775	737	975	1041	558	112	587	1075	615	1674	720	98
42	352	866	4	880	3	231	69	305	937	800	862	273	733	332	908	501	508	790	732	870
43	44	64	10	682	207	46	632	209	612	189	596	1005	33	97	390	635	331	14	1046	213
44	400	690	803	396	1338	221	1038	674	1681	521	583	1364	1644	392	369	871	1596	1386	723	983
45	2376	1505	2382	1818	1178	1899	1217	2393	2641	2651	2383	3006	1006	1732	2671	1134	1977	1229	3108	2259
46	51	244	246	420	1106	105	280	104	669	48	1528	124	9	109	381	321	134	259	661	428
47	64	33	60	151	390	575	567	608	62	45	163	711	843	335	1341	590	1256	755	164	137
48	44	97	127	78	92	217	246	51	669	546	376	714	743	432	259	128	186	26	167	209
49	517	406	831	499	3	519	545	178	1712	544	173	237	541	349	531	2056	2279	405	267	522
50	499	517	531	837	68	4	3	184	349	38	406	949	541	519	788	1162	533	885	524	113
