id	top_0	top_1	top_2	top_3	top_4	top_5	top_6	top_7	top_8	top_9	top_10	top_11	top_12	top_13	top_14	top_15	top_16	top_17	top_18	top_19
0	10	381	390	609	134	608	167	104	44	632	417	207	414	505	128	420	612	124	726	531
1	78	151	23	264	669	546	64	246	51	1528	90	110	210	199	428	195	244	895	719	44
2	711	97	132	273	217	48	755	92	60	210	151	15	587	642	213	171	713	714	62	40
3	44	669	209	64	97	714	434	48	199	132	662	743	62	136	78	92	611	546	151	246
4	515	372	524	542	134	454	958	435	470	790	167	527	322	336	788	457	505	493	1014	2474
5	134	27	171	1194	729	690	880	1256	9	113	437	547	124	50	719	26	726	22	4	382
6	62	189	117	124	60	64	160	44	127	128	210	125	217	895	86	246	155	51	775	244
7	167	128	264	1528	259	312	151	246	529	305	520	104	1106	123	38	538	917	593	704	326
8	244	23	499	68	184	134	831	92	97	116	256	305	171	509	381	406	283	189	437	2091
9	608	64	612	46	426	682	381	273	798	1046	127	385	414	603	218	662	168	221	864	792
10	515	350	315	116	527	221	335	537	40	176	243	244	470	381	167	1200	618	316	499	657
11	44	124	104	434	206	611	246	97	199	48	64	51	113	189	40	132	22	321	766	9
12	619	605	767	714	217	26	1018	775	630	748	155	762	209	151	195	166	641	210	264	214
13	104	315	246	669	128	0	305	23	766	515	420	372	273	350	524	44	3	167	321	48
14	264	151	171	132	27	51	501	246	437	895	59	195	512	4	97	39	454	790	508	465
15	352	866	69	788	501	919	1691	332	800	897	943	862	915	876	877	508	790	2237	38	1366
16	62	209	60	775	1241	555	605	246	762	493	758	119	98	214	51	364	43	546	86	1008
17	113	124	132	26	186	528	151	33	78	264	538	195	619	605	119	646	783	92	22	171
18	64	273	86	651	68	202	5	294	62	92	603	1000	929	860	993	1162	775	743	936	9
19	113	189	64	92	60	124	44	127	62	38	237	128	51	160	171	264	244	23	184	22
20	60	50	783	733	10	44	939	237	132	32	1904	591	34	682	287	673	2203	189	113	628
21	189	537	514	40	116	44	151	104	171	1118	48	168	117	188	243	242	5	259	808	575
22	64	1241	113	643	22	1014	127	740	1005	5	1270	277	206	213	322	432	48	192	288	151
